message;severity;node;stamp;topics;location
"Merged map origin 0.000000, 0.000000";"1";"/map_merge";"80.152000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::mapMerging:186"
"all maps merged, publishing";"1";"/map_merge";"80.152000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::mapMerging:181"
"Complete corner 7, 1 width 384 and height 384";"1";"/map_merge";"80.152000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:209"
"Complete corner -7, 1 width 384 and height 384";"1";"/map_merge";"80.152000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:209"
"Corner 7, 1 width 384 and height 384";"1";"/map_merge";"80.151000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/grid_compositor.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::internal::GridCompositor::compose:61"
"Corner -7, 1 width 384 and height 384";"1";"/map_merge";"80.151000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/grid_compositor.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::internal::GridCompositor::compose:61"
"compositing result grid";"1";"/map_merge";"80.151000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:196"
"Translation of transform 1 is -7.000000, -1.000000";"1";"/map_merge";"80.151000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:184"
"Translation of transform 0 is 7.000000, -1.000000";"1";"/map_merge";"80.150000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:184"
"warping grids";"1";"/map_merge";"80.150000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:175"
"Origin of updated grid -10.000000, -10.000000";"1";"/map_merge";"80.028000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::fullMapUpdate:233"
"Map merging started.";"1";"/map_merge";"80.000000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::mapMerging:152"
"current flag test and set was false";"1";"/map_merge";"80.000000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::publishTF:420"
"Publishing tf";"1";"/map_merge";"80.000000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::executeposePublishTf:404"
"Robot discovery started.";"1";"/map_merge";"80.000000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::topicSubscribing:79"
"Origin of updated grid -10.000000, -10.000000";"1";"/map_merge";"79.671000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::fullMapUpdate:233"
"current flag test and set was false";"1";"/map_merge";"79.000000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::publishTF:420"
"Publishing tf";"1";"/map_merge";"79.000000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::executeposePublishTf:404"
"Merged map origin 0.000000, 0.000000";"1";"/map_merge";"78.183000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::mapMerging:186"
"all maps merged, publishing";"1";"/map_merge";"78.182000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::mapMerging:181"
"Complete corner 7, 1 width 384 and height 384";"1";"/map_merge";"78.182000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:209"
"Complete corner -7, 1 width 384 and height 384";"1";"/map_merge";"78.182000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:209"
"Corner 7, 1 width 384 and height 384";"1";"/map_merge";"78.182000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/grid_compositor.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::internal::GridCompositor::compose:61"
"Corner -7, 1 width 384 and height 384";"1";"/map_merge";"78.182000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/grid_compositor.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::internal::GridCompositor::compose:61"
"compositing result grid";"1";"/map_merge";"78.182000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:196"
"Translation of transform 1 is -7.000000, -1.000000";"1";"/map_merge";"78.182000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:184"
"Translation of transform 0 is 7.000000, -1.000000";"1";"/map_merge";"78.181000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:184"
"warping grids";"1";"/map_merge";"78.181000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:175"
"current flag test and set was false";"1";"/map_merge";"78.001000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::publishTF:420"
"Publishing tf";"1";"/map_merge";"78.001000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::executeposePublishTf:404"
"Map merging started.";"1";"/map_merge";"78.001000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::mapMerging:152"
"Origin of updated grid -10.000000, -10.000000";"1";"/map_merge";"77.612000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::fullMapUpdate:233"
"Origin of updated grid -10.000000, -10.000000";"1";"/map_merge";"77.185000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::fullMapUpdate:233"
"current flag test and set was false";"1";"/map_merge";"77.001000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::publishTF:420"
"Publishing tf";"1";"/map_merge";"77.000000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::executeposePublishTf:404"
"Merged map origin 0.000000, 0.000000";"1";"/map_merge";"76.157000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::mapMerging:186"
"all maps merged, publishing";"1";"/map_merge";"76.157000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::mapMerging:181"
"Complete corner 7, 1 width 384 and height 384";"1";"/map_merge";"76.157000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:209"
"Complete corner -7, 1 width 384 and height 384";"1";"/map_merge";"76.157000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:209"
"Corner 7, 1 width 384 and height 384";"1";"/map_merge";"76.157000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/grid_compositor.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::internal::GridCompositor::compose:61"
"Corner -7, 1 width 384 and height 384";"1";"/map_merge";"76.157000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/grid_compositor.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::internal::GridCompositor::compose:61"
"compositing result grid";"1";"/map_merge";"76.157000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:196"
"Translation of transform 1 is -7.000000, -1.000000";"1";"/map_merge";"76.156000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:184"
"Translation of transform 0 is 7.000000, -1.000000";"1";"/map_merge";"76.156000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:184"
"warping grids";"1";"/map_merge";"76.156000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:175"
"Map merging started.";"1";"/map_merge";"76.000000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::mapMerging:152"
"current flag test and set was false";"1";"/map_merge";"76.000000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::publishTF:420"
"Publishing tf";"1";"/map_merge";"76.000000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::executeposePublishTf:404"
"Origin of updated grid -10.000000, -10.000000";"1";"/map_merge";"75.208000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::fullMapUpdate:233"
"current flag test and set was false";"1";"/map_merge";"75.000000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::publishTF:420"
"Publishing tf";"1";"/map_merge";"75.000000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::executeposePublishTf:404"
"Origin of updated grid -10.000000, -10.000000";"1";"/map_merge";"74.785000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::fullMapUpdate:233"
"Merged map origin 0.000000, 0.000000";"1";"/map_merge";"74.161000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::mapMerging:186"
"all maps merged, publishing";"1";"/map_merge";"74.161000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::mapMerging:181"
"Complete corner 7, 1 width 384 and height 384";"1";"/map_merge";"74.161000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:209"
"Complete corner -7, 1 width 384 and height 384";"1";"/map_merge";"74.161000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:209"
"Corner 7, 1 width 384 and height 384";"1";"/map_merge";"74.161000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/grid_compositor.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::internal::GridCompositor::compose:61"
"Corner -7, 1 width 384 and height 384";"1";"/map_merge";"74.161000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/grid_compositor.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::internal::GridCompositor::compose:61"
"compositing result grid";"1";"/map_merge";"74.161000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:196"
"Translation of transform 1 is -7.000000, -1.000000";"1";"/map_merge";"74.161000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:184"
"Translation of transform 0 is 7.000000, -1.000000";"1";"/map_merge";"74.161000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:184"
"warping grids";"1";"/map_merge";"74.161000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:175"
"Map merging started.";"1";"/map_merge";"74.000000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::mapMerging:152"
"current flag test and set was false";"1";"/map_merge";"74.000000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::publishTF:420"
"Publishing tf";"1";"/map_merge";"74.000000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::executeposePublishTf:404"
"current flag test and set was false";"1";"/map_merge";"73.000000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::publishTF:420"
"Publishing tf";"1";"/map_merge";"73.000000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::executeposePublishTf:404"
"Origin of updated grid -10.000000, -10.000000";"1";"/map_merge";"72.797000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::fullMapUpdate:233"
"Origin of updated grid -10.000000, -10.000000";"1";"/map_merge";"72.425000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::fullMapUpdate:233"
"Merged map origin 0.000000, 0.000000";"1";"/map_merge";"72.156000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::mapMerging:186"
"all maps merged, publishing";"1";"/map_merge";"72.156000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::mapMerging:181"
"Complete corner 7, 1 width 384 and height 384";"1";"/map_merge";"72.156000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:209"
"Complete corner -7, 1 width 384 and height 384";"1";"/map_merge";"72.156000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:209"
"Corner 7, 1 width 384 and height 384";"1";"/map_merge";"72.156000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/grid_compositor.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::internal::GridCompositor::compose:61"
"Corner -7, 1 width 384 and height 384";"1";"/map_merge";"72.156000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/grid_compositor.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::internal::GridCompositor::compose:61"
"compositing result grid";"1";"/map_merge";"72.156000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:196"
"Translation of transform 1 is -7.000000, -1.000000";"1";"/map_merge";"72.155000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:184"
"Translation of transform 0 is 7.000000, -1.000000";"1";"/map_merge";"72.155000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:184"
"warping grids";"1";"/map_merge";"72.154000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:175"
"Map merging started.";"1";"/map_merge";"72.000000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::mapMerging:152"
"current flag test and set was false";"1";"/map_merge";"72.000000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::publishTF:420"
"Publishing tf";"1";"/map_merge";"72.000000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::executeposePublishTf:404"
"current flag test and set was false";"1";"/map_merge";"71.000000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::publishTF:420"
"Publishing tf";"1";"/map_merge";"71.000000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::executeposePublishTf:404"
"Origin of updated grid -10.000000, -10.000000";"1";"/map_merge";"70.419000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::fullMapUpdate:233"
"Merged map origin 0.000000, 0.000000";"1";"/map_merge";"70.153000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::mapMerging:186"
"all maps merged, publishing";"1";"/map_merge";"70.153000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::mapMerging:181"
"Complete corner 7, 1 width 384 and height 384";"1";"/map_merge";"70.153000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:209"
"Complete corner -7, 1 width 384 and height 384";"1";"/map_merge";"70.153000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:209"
"Corner 7, 1 width 384 and height 384";"1";"/map_merge";"70.153000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/grid_compositor.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::internal::GridCompositor::compose:61"
"Corner -7, 1 width 384 and height 384";"1";"/map_merge";"70.153000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/grid_compositor.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::internal::GridCompositor::compose:61"
"compositing result grid";"1";"/map_merge";"70.153000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:196"
"Translation of transform 1 is -7.000000, -1.000000";"1";"/map_merge";"70.152000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:184"
"Translation of transform 0 is 7.000000, -1.000000";"1";"/map_merge";"70.152000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:184"
"warping grids";"1";"/map_merge";"70.152000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:175"
"Origin of updated grid -10.000000, -10.000000";"1";"/map_merge";"70.015000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::fullMapUpdate:233"
"current flag test and set was false";"1";"/map_merge";"70.000000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::publishTF:420"
"Publishing tf";"1";"/map_merge";"70.000000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::executeposePublishTf:404"
"Map merging started.";"1";"/map_merge";"70.000000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::mapMerging:152"
"current flag test and set was false";"1";"/map_merge";"69.000000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::publishTF:420"
